vote,county,town,village,no,name,party,gender,birth,age,birth_place,education,is_current,is_win,is_no2,has_account
107年村(里)長選舉,新竹縣,竹北市,十興里,1,毛振福,無黨籍及未經政黨推薦,男,'0520105,55,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,新國里,1,彭德昌,無黨籍及未經政黨推薦,男,'0450514,62,臺灣省,專科,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,新國里,2,吳勝隆,無黨籍及未經政黨推薦,男,'0591107,48,臺灣省,專科,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,新庄里,1,李月仙,無黨籍及未經政黨推薦,女,'0450102,62,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,北崙里,1,洪燕卿,中國國民黨,女,'0530325,54,臺灣省,碩士,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,北崙里,2,劉福登,中國國民黨,男,'0330203,74,臺灣省,高中,Y," "," ",N
107年村(里)長選舉,新竹縣,竹北市,新崙里,1,劉旦貴,無黨籍及未經政黨推薦,女,'0630123,44,臺灣省,大學,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,新崙里,2,黃平足,無黨籍及未經政黨推薦,女,'0401230,66,臺灣省,高中,Y," "," ",N
107年村(里)長選舉,新竹縣,竹北市,新崙里,3,呂紹華,無黨籍及未經政黨推薦,男,'0751018,32,臺灣省,大學,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,福德里,1,官秀玉,無黨籍及未經政黨推薦,女,'0500302,57,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,福德里,2,曾文忠,中國國民黨,男,'0440606,63,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,東興里,1,高林淦,無黨籍及未經政黨推薦,男,'0620301,45,新北市,大學,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,東興里,2,林章鈺,中國國民黨,男,'0520420,55,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,竹北市,東興里,3,龍春廣,無黨籍及未經政黨推薦,男,'0530925,54,臺灣省,大學,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,北興里,1,田慶順,無黨籍及未經政黨推薦,男,'0540130,53,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,興安里,1,彭垣均,無黨籍及未經政黨推薦,男,'0570117,50,臺灣省,碩士,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,文化里,1,謝棋鈞,無黨籍及未經政黨推薦,女,'0540425,53,臺灣省,大學,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,文化里,2,胡文貴,無黨籍及未經政黨推薦,男,'0421210,64,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,中崙里,1,鄒永枝,無黨籍及未經政黨推薦,男,'0510207,56,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,中崙里,2,李金對,無黨籍及未經政黨推薦,男,'0621205,44,臺中市,專科,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,中崙里,3,劉倉堯,無黨籍及未經政黨推薦,男,'0511201,55,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,中崙里,4,鄭水金,無黨籍及未經政黨推薦,男,'0480728,59,臺灣省,碩士,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,上坪里,1,范秉松,中國國民黨,男,'0460517,61,臺灣省,大學,Y," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,上坪里,2,曾瑞琴,無黨籍及未經政黨推薦,女,'0490101,58,臺灣省,高中(職)以下,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,瑞峰里,1,彭康麟,無黨籍及未經政黨推薦,男,'0510220,56,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,軟橋里,1,彭松擧,無黨籍及未經政黨推薦,男,'0480102,59,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,軟橋里,2,徐福亮,無黨籍及未經政黨推薦,男,'0520107,55,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,軟橋里,3,林德源,無黨籍及未經政黨推薦,男,'0520205,55,臺灣省,專科,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,員崠里,1,徐鵬桓,無黨籍及未經政黨推薦,男,'0510919,56,臺灣省,高中,Y," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,員崠里,2,呂世回,無黨籍及未經政黨推薦,男,'0380701,69,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,員崠里,3,王瀚立,無黨籍及未經政黨推薦,男,'0620525,45,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,員崠里,4,余義松,無黨籍及未經政黨推薦,男,'0310315,76,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,東寧里,1,彭立傑,無黨籍及未經政黨推薦,男,'0670121,40,臺灣省,碩士,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,上舘里,1,蔡家陞,中國國民黨,男,'0380404,69,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,上舘里,2,邱榮發,無黨籍及未經政黨推薦,男,'0521010,55,臺灣省,高中(職)以下,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,上舘里,3,彭誠吉,中國國民黨,男,'0320819,75,臺灣省,高中,Y," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,大鄉里,1,范綱朋,無黨籍及未經政黨推薦,男,'0430908,64,臺灣省,專科,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,大鄉里,2,馮正煒,無黨籍及未經政黨推薦,男,'0481031,59,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,東華里,1,梁福龍,無黨籍及未經政黨推薦,男,'0320208,75,新北市,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,商華里,1,陳瑞玉,無黨籍及未經政黨推薦,女,'0560525,51,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,竹東里,1,彭永彥,無黨籍及未經政黨推薦,男,'0460920,61,臺灣省,大學,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,竹東里,2,彭永淦,中國國民黨,男,'0410704,66,臺灣省,專科,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,榮樂里,1,游德有,無黨籍及未經政黨推薦,男,'0430826,64,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,榮樂里,2,馮文營,無黨籍及未經政黨推薦,男,'0410301,66,臺灣省,專科,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,鷄林里,1,范錦榮,無黨籍及未經政黨推薦,男,'0390201,68,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,鷄林里,2,賴運土,中國國民黨,男,'0431026,64,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,仁愛里,1,楊國雄,無黨籍及未經政黨推薦,男,'0320715,75,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,五豐里,1,邱文郎,無黨籍及未經政黨推薦,男,'0540402,53,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,五豐里,2,羅晉弘,中國國民黨,男,'0681029,39,臺灣省,碩士,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,三重里,1,范振東,無黨籍及未經政黨推薦,男,'0390628,68,臺灣省,大學,Y,*," ",Y
107年村(里)長選舉,新竹縣,竹東鎮,三重里,2,陳志勇,無黨籍及未經政黨推薦,男,'0570402,50,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,頭重里,1,曾俊傑,無黨籍及未經政黨推薦,男,'0440217,63,臺灣省,碩士,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,頭重里,2,林振維,無黨籍及未經政黨推薦,男,'0490202,58,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,頭重里,3,詹乃芳,無黨籍及未經政黨推薦,女,'0441021,63,臺灣省,其他,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,頭重里,4,傅作書,無黨籍及未經政黨推薦,男,'0570110,50,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,員山里,1,徐銓旺,無黨籍及未經政黨推薦,男,'0421210,64,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,員山里,2,王靖文,無黨籍及未經政黨推薦,女,'0590720,48,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,柯湖里,1,呂建宏,中國國民黨,男,'0450120,62,臺灣省,大學,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,二重里,1,林永銓,無黨籍及未經政黨推薦,男,'0540803,53,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,二重里,2,李一良,無黨籍及未經政黨推薦,男,'0640802,43,高雄市,博士,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,二重里,3,林金菊,無黨籍及未經政黨推薦,女,'0381120,69,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,二重里,4,葉翠華,無黨籍及未經政黨推薦,女,'0540214,53,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,中山里,1,陳日翔,無黨籍及未經政黨推薦,男,'0461210,60,臺灣省,高中,Y," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,中山里,2,孫光政,無黨籍及未經政黨推薦,男,'0500101,57,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,中正里,1,黃國樞,無黨籍及未經政黨推薦,男,'0500705,57,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,中正里,2,鍾義春,無黨籍及未經政黨推薦,男,'0350816,72,臺灣省,專科,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,南華里,1,王兆禎,中國國民黨,男,'0620310,45,臺灣省,專科,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,南華里,2,林青山,中國國民黨,男,'0590412,48,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,榮華里,1,鍾更明,中國國民黨,男,'0480308,59,臺灣省,專科,N," "," ",Y
107年村(里)長選舉,新竹縣,竹東鎮,榮華里,2,林子丞,中國國民黨,男,'0720415,35,臺灣省,碩士,Y,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,榮華里,3,馮祥海,無黨籍及未經政黨推薦,男,'0451205,61,臺灣省,專科,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,忠孝里,1,鄭正雄,無黨籍及未經政黨推薦,男,'0271130,79,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹東鎮,忠孝里,2,吳錦忠,無黨籍及未經政黨推薦,男,'0360901,71,臺灣省,高中(職)以下,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,陸豐里,1,呂學清,無黨籍及未經政黨推薦,男,'0530103,54,臺灣省,高中(職)以下,N,*," ",N
107年村(里)長選舉,新竹縣,竹東鎮,陸豐里,2,魏滾增,無黨籍及未經政黨推薦,男,'0380905,69,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,內立里,1,劉冠吟,無黨籍及未經政黨推薦,女,'0470828,60,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,內立里,2,謝沅澄,無黨籍及未經政黨推薦,男,'0530402,54,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,內立里,3,范光東,無黨籍及未經政黨推薦,男,'0581111,49,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,寶石里,1,鄧世雲,無黨籍及未經政黨推薦,男,'0501101,57,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,文山里,1,葉清益,無黨籍及未經政黨推薦,男,'0580809,49,臺灣省,專科,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,文山里,2,湯煥樓,無黨籍及未經政黨推薦,男,'0431025,64,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,文山里,3,錢育均,中國國民黨,男,'0700119,37,臺灣省,大學,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,五埔里,1,戴錦森,無黨籍及未經政黨推薦,男,'0460117,61,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,五埔里,2,陳保良,無黨籍及未經政黨推薦,男,'0560822,51,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,四座里,1,孫鑾灯,無黨籍及未經政黨推薦,男,'0421127,64,高雄市,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,四座里,2,劉士相,無黨籍及未經政黨推薦,男,'0470806,60,臺灣省,專科,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,旱坑里,1,葉雲全,無黨籍及未經政黨推薦,男,'0581211,48,臺灣省,大學,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,田新里,1,曾建昌,中國國民黨,男,'0471228,59,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,田新里,2,劉興堃,中國國民黨,男,'0321215,74,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,新埔里,1,林陳双美,無黨籍及未經政黨推薦,女,'0420301,65,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,新埔里,2,曾淑元,無黨籍及未經政黨推薦,女,'0420123,65,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,新生里,1,劉錦泉,無黨籍及未經政黨推薦,男,'0350609,72,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,新民里,1,蘇嘉維,無黨籍及未經政黨推薦,男,'0750907,32,臺灣省,大學,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,新民里,2,吳桂香,無黨籍及未經政黨推薦,女,'0430325,64,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,上寮里,1,呂淇星,無黨籍及未經政黨推薦,男,'0401101,67,臺灣省,高中,Y," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,上寮里,2,劉德文,無黨籍及未經政黨推薦,男,'0430910,64,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,下寮里,1,范永才,無黨籍及未經政黨推薦,男,'0420102,65,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,南平里,1,劉守森,無黨籍及未經政黨推薦,男,'0491105,58,臺灣省,專科,N,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,南平里,2,劉守振,無黨籍及未經政黨推薦,男,'0520508,55,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,南平里,3,劉明德,無黨籍及未經政黨推薦,男,'0410610,66,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,北平里,1,張泉霖,無黨籍及未經政黨推薦,男,'0400116,67,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,北平里,2,林有裕,無黨籍及未經政黨推薦,男,'0620417,45,臺灣省,大學,N,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,巨埔里,1,彭享煤,無黨籍及未經政黨推薦,男,'0431025,64,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,巨埔里,2,張清漢,無黨籍及未經政黨推薦,男,'0340813,73,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,照門里,1,曾增粮,無黨籍及未經政黨推薦,男,'0520818,55,臺灣省,高中,Y," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,照門里,2,劉華柱,無黨籍及未經政黨推薦,男,'0530325,54,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,清水里,1,徐騰洸,無黨籍及未經政黨推薦,男,'0461101,61,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,清水里,2,劉春英,無黨籍及未經政黨推薦,女,'0550824,52,臺灣省,專科,N,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,鹿鳴里,1,彭永銘,無黨籍及未經政黨推薦,男,'0431115,64,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,鹿鳴里,2,陳英基,無黨籍及未經政黨推薦,男,'0511212,55,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,新埔鎮,新北里,1,陳耀輝,無黨籍及未經政黨推薦,男,'0470215,60,臺灣省,高中,Y," "," ",N
107年村(里)長選舉,新竹縣,新埔鎮,新北里,2,廖文豪,無黨籍及未經政黨推薦,男,'0480815,59,臺灣省,高中(職)以下,N,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,東興里,1,楊明勳,無黨籍及未經政黨推薦,男,'0480919,59,臺灣省,大學,Y,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,西安里,1,羅吉森,無黨籍及未經政黨推薦,男,'0450821,62,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,南雄里,1,鍾秋發,無黨籍及未經政黨推薦,男,'0340521,73,臺灣省,專科,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,南雄里,2,林吳玉英,無黨籍及未經政黨推薦,女,'0450410,62,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,南雄里,3,彭玉清,無黨籍及未經政黨推薦,男,'0300924,77,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,北斗里,1,劉得彬,無黨籍及未經政黨推薦,男,'0480114,59,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,仁安里,1,黃瑞娥,無黨籍及未經政黨推薦,女,'0470710,60,臺灣省,大學,N,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,仁安里,2,詹勳鴻,無黨籍及未經政黨推薦,男,'0460810,61,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,北山里,1,王萬斌,無黨籍及未經政黨推薦,男,'0491025,58,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,北山里,2,曾吳秀琴,無黨籍及未經政黨推薦,女,'0400318,67,桃園市,高中(職)以下,N,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,南山里,1,羅仕焰,無黨籍及未經政黨推薦,男,'0421015,65,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,南山里,2,羅吉信,無黨籍及未經政黨推薦,男,'0311102,76,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,東安里,1,林廷海,無黨籍及未經政黨推薦,男,'0420723,65,臺灣省,高中,Y," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,東安里,2,陳盛德,無黨籍及未經政黨推薦,男,'0540518,53,臺灣省,大學,N,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,東光里,1,葉明璋,無黨籍及未經政黨推薦,男,'0450412,62,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,新富里,1,范金彰,無黨籍及未經政黨推薦,男,'0430904,64,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,金山里,1,詹煌暄,無黨籍及未經政黨推薦,男,'0571220,49,臺灣省,專科,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,金山里,2,羅金基,無黨籍及未經政黨推薦,男,'0400323,67,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,錦山里,1,林晉元,無黨籍及未經政黨推薦,男,'0540120,53,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,錦山里,2,徐聰明,中國國民黨,男,'0421126,64,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,錦山里,3,張紹輝,無黨籍及未經政黨推薦,男,'0631022,44,臺灣省,大學,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,錦山里,4,林保國,無黨籍及未經政黨推薦,男,'0570818,50,臺灣省,高中(職)以下,N,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,玉山里,1,黃譽仁,無黨籍及未經政黨推薦,男,'0570516,50,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,大同里,1,范剛仁,無黨籍及未經政黨推薦,男,'0640430,43,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,大同里,2,陳振才,無黨籍及未經政黨推薦,男,'0621030,45,臺灣省,大學,N,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,石光里,1,羅榮相,無黨籍及未經政黨推薦,男,'0420305,65,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,石光里,2,嚴盛任,無黨籍及未經政黨推薦,男,'0471128,59,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,上林里,1,楊文輝,無黨籍及未經政黨推薦,男,'0521222,54,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,關西鎮,上林里,2,陳光紹,無黨籍及未經政黨推薦,男,'0550420,52,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,關西鎮,上林里,3,曾宏煇,無黨籍及未經政黨推薦,男,'0530105,54,臺灣省,碩士,N," "," ",N
