縣市,序號,擬參選人,選舉名稱,申報序號,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,收入小計,超過三萬元之收入總額,金錢收入總額,非金錢收入總額,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出,支出小計,超過三萬元之支出總額,金錢支出總額,非金錢支出總額,結算日專戶存款餘額,(加)購買金錢以外之財產,(減)變賣金錢以外之財產,餘額,收支結存內金錢餘額,金錢以外之財產,會計師事務所全名,會計師姓名,製表人,結算日期,申報日期,更正日期
屏東縣,1,李麗鳳,107年村(里)長選舉,首次申報,145000.00,0.00,0.00,0.00,0.00,0.00,145000.00,100000.00,145000.00,0.00,0.00,52724.00,0.00,0.00,52214.00,31492.00,18359.00,0.00,0.00,1510.00,156299.00,0.00,156299.00,0.00,144920.00,0.00,0.00,-11299.00,-11299.00,0.00,,,王筱雲,1071122,1080213,
屏東縣,2,卓萬吉,107年村(里)長選舉,首次申報,30000.00,0.00,0.00,0.00,0.00,0.00,30000.00,0.00,30000.00,0.00,0.00,21800.00,0.00,0.00,0.00,0.00,10240.00,0.00,0.00,0.00,32040.00,0.00,32040.00,0.00,10000.00,0.00,0.00,-2040.00,-2040.00,0.00,,,馬月蓮,1071123,1080215,
屏東縣,3,高源木,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,高源木,1071224,1080218,
屏東縣,4,陳文山,107年村(里)長選舉,首次申報,20000.00,0.00,0.00,0.00,0.00,0.00,20000.00,0.00,20000.00,0.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,20000.00,0.00,0.00,40000.00,0.00,40000.00,0.00,0.00,0.00,0.00,-20000.00,-20000.00,0.00,,,陳文山,1071123,1080222,1080424
屏東縣,5,陳貴松,107年村(里)長選舉,首次申報,300000.00,0.00,0.00,0.00,0.00,0.00,300000.00,300000.00,300000.00,0.00,0.00,104000.00,0.00,0.00,196000.00,0.00,20000.00,0.00,0.00,0.00,320000.00,291000.00,320000.00,0.00,0.00,0.00,0.00,-20000.00,-20000.00,0.00,,,林鳳美,1071122,1071123,
屏東縣,6,趙美如,107年村(里)長選舉,首次申報,3000.00,0.00,0.00,0.00,0.00,0.00,3000.00,0.00,3000.00,0.00,0.00,13000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13000.00,0.00,13000.00,0.00,3000.00,0.00,0.00,-10000.00,-10000.00,0.00,,,趙美如,1071102,1080221,1080423
屏東縣,7,蔡丸居,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,蔡丸居,1071224,1080131,
屏東縣,8,簡春福,107年村(里)長選舉,首次申報,5000.00,0.00,0.00,0.00,147.00,0.00,5147.00,0.00,5147.00,0.00,0.00,0.00,0.00,0.00,2000.00,0.00,0.00,5000.00,0.00,0.00,7000.00,0.00,7000.00,0.00,0.00,0.00,0.00,-1853.00,-1853.00,0.00,,,江宜婷,1071128,1080123,
彰化縣,1,周春蘭,107年村(里)長選舉,首次申報,250350.00,0.00,0.00,0.00,7900.00,16.00,258266.00,0.00,258266.00,0.00,45850.00,96394.00,0.00,31202.00,23840.00,0.00,61226.00,0.00,0.00,1137.00,259649.00,94665.00,259649.00,0.00,16.00,0.00,0.00,-1383.00,-1383.00,0.00,,,周春蘭,1071224,1071227,1080115
彰化縣,2,陳陽,107年村(里)長選舉,首次申報,95066.00,0.00,0.00,0.00,0.00,2.00,95068.00,0.00,95068.00,0.00,0.00,27162.00,6000.00,0.00,36800.00,12157.00,19179.00,0.00,0.00,0.00,101298.00,0.00,101298.00,0.00,68.00,0.00,0.00,-6230.00,-6230.00,0.00,,,陳陽,1071221,1080222,1080402
新北市,1,王進成,107年村(里)長選舉,首次申報,0.00,0.00,0.00,120000.00,0.00,0.00,120000.00,120000.00,120000.00,0.00,0.00,0.00,0.00,0.00,104350.00,0.00,26330.00,0.00,0.00,0.00,130680.00,88600.00,130680.00,0.00,0.00,0.00,0.00,-10680.00,-10680.00,0.00,,,王進成,1071110,1080202,1080514
新北市,2,王裕耀,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,王裕耀,1071224,1071226,
新北市,3,王增文,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,王增文,1071217,1071217,
新北市,4,伍家慧,107年村(里)長選舉,首次申報,27000.00,0.00,0.00,0.00,4680.00,0.00,31680.00,0.00,31680.00,0.00,10000.00,0.00,0.00,0.00,0.00,0.00,8000.00,15000.00,0.00,0.00,33000.00,0.00,33000.00,0.00,16680.00,0.00,0.00,-1320.00,-1320.00,0.00,,,伍家慧,1080215,1080222,
新北市,5,何炳蓬,107年村(里)長選舉,首次申報,28000.00,0.00,0.00,2000.00,0.00,0.00,30000.00,0.00,8000.00,22000.00,0.00,45870.00,0.00,0.00,20000.00,0.00,22271.00,0.00,0.00,0.00,88141.00,0.00,66141.00,22000.00,0.00,0.00,0.00,-58141.00,-58141.00,0.00,,,何炳蓬,1071123,1080201,
新北市,6,吳全福,107年村(里)長選舉,首次申報,25000.00,0.00,0.00,0.00,2000.00,2.00,27002.00,0.00,27002.00,0.00,0.00,44000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44000.00,36000.00,44000.00,0.00,2.00,0.00,0.00,-16998.00,-16998.00,0.00,,,王儷雯,1071221,1080131,1080307
新北市,7,吳國全,107年村(里)長選舉,首次申報,231400.00,3600.00,0.00,2000.00,11600.00,0.00,248600.00,0.00,235800.00,12800.00,0.00,95838.00,0.00,0.00,54722.00,0.00,77192.00,0.00,0.00,21000.00,248752.00,52700.00,235952.00,12800.00,235800.00,0.00,0.00,-152.00,-152.00,0.00,,,李瑞錦,1071219,1071220,
新北市,8,李月嬌,107年村(里)長選舉,首次申報,142400.00,25000.00,0.00,35000.00,0.00,0.00,202400.00,55000.00,202400.00,0.00,0.00,87958.00,0.00,0.00,35350.00,6463.00,59670.00,109400.00,0.00,25355.00,324196.00,42000.00,324196.00,0.00,202400.00,0.00,0.00,-121796.00,-121796.00,0.00,,,洪蘋音,1080130,1080201,1080321
新北市,9,李駿逸,107年村(里)長選舉,首次申報,5000.00,0.00,0.00,0.00,0.00,0.00,5000.00,0.00,5000.00,0.00,0.00,6500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6500.00,0.00,6500.00,0.00,0.00,0.00,0.00,-1500.00,-1500.00,0.00,,,李駿逸,1071106,1071213,
新北市,10,李麗文,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,李麗文,1071224,1080218,
新北市,11,沈易鈞,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,沈思妤,1071224,1080125,
新北市,12,林耿邦,107年村(里)長選舉,首次申報,49400.00,0.00,0.00,0.00,2000.00,0.00,51400.00,0.00,51400.00,0.00,0.00,19470.00,0.00,0.00,42900.00,0.00,0.00,0.00,0.00,0.00,62370.00,0.00,62370.00,0.00,0.00,0.00,0.00,-10970.00,-10970.00,0.00,,,林耿邦,1071125,1080111,
新北市,13,邱仁福,107年村(里)長選舉,首次申報,100000.00,0.00,0.00,0.00,0.00,0.00,100000.00,100000.00,100000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104075.00,0.00,0.00,0.00,104075.00,50000.00,104075.00,0.00,80.00,0.00,0.00,-4075.00,-4075.00,0.00,,,邱仁福,1071117,1080223,
新北市,14,邱淑雯,107年村(里)長選舉,首次申報,1500.00,0.00,0.00,0.00,147.00,0.00,1647.00,0.00,1647.00,0.00,0.00,1764.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1764.00,0.00,1764.00,0.00,1647.00,0.00,0.00,-117.00,-117.00,0.00,,,邱淑雯,1071116,1080219,
新北市,15,施明進,107年村(里)長選舉,首次申報,303000.00,0.00,0.00,0.00,0.00,0.00,303000.00,300000.00,303000.00,0.00,0.00,124120.00,0.00,0.00,13500.00,0.00,249575.00,0.00,0.00,9900.00,397095.00,295635.00,397095.00,0.00,103000.00,0.00,0.00,-94095.00,-94095.00,0.00,,,劉淑芬,1071125,1080128,
新北市,16,洪士宏,107年村(里)長選舉,首次申報,35300.00,5000.00,0.00,0.00,6500.00,0.00,46800.00,0.00,46800.00,0.00,0.00,50000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50000.00,50000.00,50000.00,0.00,39300.00,0.00,0.00,-3200.00,-3200.00,0.00,,,洪士宏,1071019,1080131,
新北市,17,袁孔琪,107年村(里)長選舉,首次申報,3000.00,0.00,0.00,21000.00,0.00,0.00,24000.00,0.00,24000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50000.00,0.00,0.00,0.00,50000.00,50000.00,50000.00,0.00,24000.00,0.00,0.00,-26000.00,-26000.00,0.00,,,袁孔琪,1071107,1080220,
新北市,18,莊晉貴,107年村(里)長選舉,首次申報,0.00,32000.00,0.00,0.00,0.00,0.00,32000.00,32000.00,32000.00,0.00,0.00,13000.00,0.00,0.00,0.00,0.00,12645.00,0.00,0.00,11250.00,36895.00,0.00,36895.00,0.00,0.00,0.00,0.00,-4895.00,-4895.00,0.00,,,莊晉貴,1071120,1071227,1080117
新北市,19,莊銘淵,107年村(里)長選舉,首次申報,77000.00,0.00,0.00,0.00,315.00,6.00,77321.00,0.00,77321.00,0.00,0.00,41200.00,0.00,0.00,0.00,0.00,36284.00,0.00,0.00,0.00,77484.00,40000.00,77484.00,0.00,0.00,0.00,0.00,-163.00,-163.00,0.00,,,莊銘淵,1071207,1080118,
新北市,20,郭書成,107年村(里)長選舉,首次申報,94866.00,0.00,0.00,0.00,8247.00,4.00,103117.00,0.00,103117.00,0.00,50000.00,40700.00,0.00,0.00,0.00,2062.00,2425.00,0.00,0.00,12533.00,107720.00,0.00,107720.00,0.00,4.00,0.00,0.00,-4603.00,-4603.00,0.00,,,郭書成,1071224,1080223,1080320
新北市,21,陳孝皇,107年村(里)長選舉,首次申報,100000.00,0.00,0.00,0.00,0.00,0.00,100000.00,100000.00,100000.00,0.00,13000.00,15384.00,0.00,59322.00,27000.00,0.00,4195.00,0.00,0.00,0.00,118901.00,0.00,118901.00,0.00,59000.00,0.00,0.00,-18901.00,-18901.00,0.00,,,許婷婷,1071217,1080111,
新北市,22,陳素貞,107年村(里)長選舉,首次申報,50000.00,50000.00,0.00,0.00,0.00,0.00,100000.00,100000.00,100000.00,0.00,0.00,56000.00,0.00,0.00,0.00,0.00,0.00,50000.00,0.00,0.00,106000.00,106000.00,106000.00,0.00,0.00,0.00,0.00,-6000.00,-6000.00,0.00,,,李科瑱,1071120,1071217,
新北市,23,曾淑蘭,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,曾淑蘭,1071224,1080222,
新北市,24,游心怡,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,游心怡,1071224,1080215,
新北市,25,程浚緯,107年村(里)長選舉,首次申報,3000.00,20000.00,0.00,0.00,0.00,0.00,23000.00,0.00,23000.00,0.00,0.00,1970.00,0.00,0.00,0.00,0.00,1070.00,20000.00,0.00,0.00,23040.00,0.00,23040.00,0.00,0.00,0.00,0.00,-40.00,-40.00,0.00,,,程浚緯,1080121,1080130,
新北市,26,黃俊強,107年村(里)長選舉,首次申報,20000.00,0.00,0.00,0.00,147.00,0.00,20147.00,0.00,20147.00,0.00,0.00,25356.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25356.00,0.00,25356.00,0.00,20147.00,0.00,0.00,-5209.00,-5209.00,0.00,,,黃俊強,1071031,1080201,
新北市,27,黃國訓,107年村(里)長選舉,首次申報,20000.00,6000.00,0.00,0.00,2000.00,5.00,28005.00,0.00,28005.00,0.00,0.00,16100.00,9000.00,0.00,0.00,0.00,9129.00,0.00,0.00,0.00,34229.00,0.00,34229.00,0.00,28005.00,0.00,0.00,-6224.00,-6224.00,0.00,,,張淑菁,1071221,1080219,1080522
新北市,28,黃雪美,107年村(里)長選舉,首次申報,9300.00,0.00,0.00,0.00,0.00,0.00,9300.00,0.00,6000.00,3300.00,0.00,35858.00,0.00,0.00,0.00,0.00,3300.00,0.00,0.00,0.00,39158.00,0.00,35858.00,3300.00,0.00,0.00,0.00,-29858.00,-29858.00,0.00,,,袁麗娟,1071122,1080220,1080315
新北市,29,黃閎源,107年村(里)長選舉,首次申報,100000.00,0.00,0.00,0.00,0.00,18.00,100018.00,100000.00,100018.00,0.00,0.00,30876.00,0.00,20000.00,21632.00,2760.00,44820.00,0.00,0.00,1075.00,121163.00,40000.00,121163.00,0.00,18.00,21000.00,0.00,-145.00,-21145.00,21000.00,,,黃閎源,1071224,1071205,1080110
新北市,30,黃昰瑋,107年村(里)長選舉,首次申報,7000.00,0.00,0.00,0.00,0.00,0.00,7000.00,0.00,7000.00,0.00,0.00,39080.00,0.00,0.00,0.00,0.00,5694.00,0.00,0.00,0.00,44774.00,0.00,44774.00,0.00,6940.00,0.00,0.00,-37774.00,-37774.00,0.00,,,黃昰瑋,1071124,1080130,
新北市,31,葉水金,107年村(里)長選舉,首次申報,0.00,50000.00,0.00,0.00,0.00,0.00,50000.00,50000.00,50000.00,0.00,0.00,31500.00,0.00,0.00,30000.00,0.00,0.00,0.00,0.00,0.00,61500.00,0.00,61500.00,0.00,50000.00,0.00,0.00,-11500.00,-11500.00,0.00,,,葉水金,1071120,1080216,1080221
新北市,32,詹麒叡,107年村(里)長選舉,首次申報,229700.00,0.00,0.00,0.00,0.00,7.00,229707.00,86000.00,229707.00,0.00,66000.00,2000.00,0.00,0.00,65000.00,0.00,91145.00,0.00,0.00,11500.00,235645.00,37600.00,235645.00,0.00,7.00,0.00,0.00,-5938.00,-5938.00,0.00,,,洪子涵,1071221,1071222,
新北市,33,廖婉如,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,廖婉如,1071224,1080221,
新北市,34,趙陳芷羚,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,趙陳芷羚,1071224,1080213,
新北市,35,歐宇帥,107年村(里)長選舉,首次申報,27000.00,0.00,0.00,0.00,10200.00,0.00,37200.00,0.00,37200.00,0.00,0.00,51105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51105.00,34650.00,51105.00,0.00,0.00,0.00,0.00,-13905.00,-13905.00,0.00,,,歐宇帥,1071119,1071127,
新北市,36,蔣孝文,107年村(里)長選舉,首次申報,50200.00,0.00,0.00,0.00,12800.00,0.00,63000.00,0.00,61500.00,1500.00,2500.00,35726.00,0.00,0.00,0.00,2472.00,24578.00,0.00,0.00,0.00,65276.00,0.00,63776.00,1500.00,0.00,0.00,0.00,-2276.00,-2276.00,0.00,,,范秋萍,1071119,1080117,
新北市,37,蔡玉真,107年村(里)長選舉,首次申報,116600.00,230000.00,0.00,0.00,0.00,0.00,346600.00,280000.00,346600.00,0.00,95500.00,93710.00,2692.00,2520.00,101447.00,2800.00,34947.00,0.00,0.00,21640.00,355256.00,128700.00,355256.00,0.00,146600.00,0.00,0.00,-8656.00,-8656.00,0.00,,,蔡玉真,1071126,1071126,1080320
新北市,38,蔡明輝,107年村(里)長選舉,首次申報,293988.00,30000.00,0.00,7600.00,1000.00,24.00,332612.00,100000.00,312312.00,20300.00,81000.00,74802.00,0.00,0.00,38553.00,879.00,80956.00,0.00,0.00,0.00,276190.00,167600.00,255890.00,20300.00,211630.00,0.00,0.00,56422.00,56422.00,0.00,,,蔡明輝,1071221,1080118,
新北市,39,蔡美娟,107年村(里)長選舉,首次申報,100000.00,0.00,0.00,0.00,0.00,1.00,100001.00,100000.00,100001.00,0.00,0.00,53500.00,0.00,0.00,16250.00,0.00,36135.00,0.00,0.00,0.00,105885.00,39100.00,105885.00,0.00,1.00,0.00,0.00,-5884.00,-5884.00,0.00,,,蔡美娟,1071222,1080221,1080513
新北市,40,鄭明泉,107年村(里)長選舉,首次申報,4560.00,3000.00,0.00,0.00,0.00,0.00,7560.00,0.00,2000.00,5560.00,0.00,0.00,0.00,0.00,0.00,0.00,5560.00,2000.00,0.00,0.00,7560.00,0.00,2000.00,5560.00,0.00,0.00,0.00,0.00,0.00,0.00,,,鄭明泉,1080124,1080215,1080215
新北市,41,鄧長安,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,147.00,0.00,147.00,0.00,147.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,0.00,103.00,0.00,1603.00,0.00,1603.00,0.00,147.00,0.00,0.00,-1456.00,-1456.00,0.00,,,鄧長安,1080220,1080218,1080508
新北市,42,霍秀珍,107年村(里)長選舉,首次申報,11800.00,0.00,0.00,0.00,0.00,0.00,11800.00,0.00,0.00,11800.00,0.00,0.00,0.00,0.00,0.00,0.00,61800.00,0.00,0.00,0.00,61800.00,50000.00,50000.00,11800.00,0.00,0.00,0.00,-50000.00,-50000.00,0.00,,,霍秀珍,1071123,1071218,1080110
新北市,43,韓君灝,107年村(里)長選舉,首次申報,9600.00,0.00,0.00,0.00,1600.00,0.00,11200.00,0.00,11200.00,0.00,0.00,11600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11600.00,0.00,11600.00,0.00,0.00,0.00,0.00,-400.00,-400.00,0.00,,,韓君灝,1071130,1071208,
新北市,44,簡惠麗,107年村(里)長選舉,首次申報,0.00,20000.00,0.00,0.00,0.00,0.00,20000.00,0.00,20000.00,0.00,6000.00,0.00,0.00,0.00,0.00,0.00,18220.00,0.00,0.00,0.00,24220.00,0.00,24220.00,0.00,20000.00,0.00,0.00,-4220.00,-4220.00,0.00,,,簡惠麗,1071130,1080211,
新北市,45,藍維鼎,107年村(里)長選舉,首次申報,68800.00,10000.00,0.00,0.00,2000.00,0.00,80800.00,0.00,80800.00,0.00,0.00,52875.00,0.00,9200.00,19218.00,2089.00,21008.00,0.00,0.00,0.00,104390.00,0.00,104390.00,0.00,0.00,0.00,0.00,-23590.00,-23590.00,0.00,,,藍維鼎,1071218,1080108,1080516
